id,author,date,source,popularity,tags,content
0,rudgal,2025-09-23 01:01:01Z,https://rudiverse.net,0,,"// following line is exactly 80 chars long
const x = 'xk9ssdmz7q3w8r5t2y6u1i4o0p7a9s8d6f3g5fh2j1k4al7z9x2ac8sdfv5b3n6ms1q'"
1,Jens Roland,2011-11-19 02:24:04Z,https://stackoverflow.com/a/482129,1454,,"/**
* For the brave souls who get this far: You are the chosen ones,
* the valiant knights of programming who toil away, without rest,
* fixing our most awful code. To you, true saviors, kings of men,
* I say this: never gonna give you up, never gonna let you down,
* never gonna run around and desert you. Never gonna make you cry,
* never gonna say goodbye. Never gonna tell a lie and hurt you.
*/"
2,Jens Roland,2011-11-19 02:24:04Z,https://stackoverflow.com/a/482129,1454,,"//
// Dear maintainer:
//
// Once you are done trying to 'optimize' this routine,
// and have realized what a terrible mistake that was,
// please increment the following counter as a warning
// to the next guy:
//
// total_hours_wasted_here = 42
//"
3,スーパーファミコン,2009-02-14 19:21:06Z,https://stackoverflow.com/a/549611,1049,,"Exception up = new Exception(""Something is really wrong."");
throw up;  //ha ha"
4,johnc,2008-11-25 02:50:46Z,https://stackoverflow.com/a/316233,1048,,"//When I wrote this, only God and I understood what I was doing
//Now, God only knows"
5,Tuoski,2008-10-09 07:52:35Z,https://stackoverflow.com/a/186309,1045,,stop(); // Hammertime!
6,Ash,2010-09-14 22:26:55Z,https://stackoverflow.com/a/740603,1026,,"// Autogenerated, do not edit. All changes will be undone."
7,Sergey Kornilov,2008-10-09 03:12:39Z,https://stackoverflow.com/a/185803,942,,// sometimes I believe compiler ignores all my comments
8,sharkin,2008-10-09 12:07:26Z,https://stackoverflow.com/a/186967,927,,"// I dedicate all this code, all my work, to my wife, Darlene, who will
// have to support me and our three children and the dog once it gets
// released into the public."
9,Tom Ritter,2010-07-28 07:56:06Z,https://stackoverflow.com/a/184673,907,,"//Code sanitized to protect the foolish.
using System;
using System.Collections.Generic;
using System.Text;
using System.Reflection;
using System.Web.UI;

namespace Mobile.Web.Control
{
    /// <summary>
    /// Class used to work around Richard being a fucking idiot
    /// </summary>
    /// <remarks>
    /// The point of this is to work around his poor design so that paging will
    /// work on a mobile control. The main problem is the BindCompany() method,
    /// which he hoped would be able to do everything. I hope he dies.
    /// </remarks>
    public abstract class RichardIsAFuckingIdiotControl : MobileBaseControl, ICompanyProfileControl
    {
        protected abstract Pager Pager { get; }

        public void BindCompany(int companyId) { }

        public RichardIsAFuckingIdiotControl()
        {
            MakeSureNobodyAccidentallyGetsBittenByRichardsStupidity();
        }

        private void MakeSureNobodyAccidentallyGetsBittenByRichardsStupidity()
        {
            // Make sure nobody is actually using that fucking bindcompany method
            MethodInfo m = this.GetType().GetMethod(""BindCompany"", BindingFlags.DeclaredOnly |
                BindingFlags.Instance | BindingFlags.Public | BindingFlags.NonPublic);
            if (m != null)
            {
                throw new RichardIsAFuckingIdiotException(""No!! Don't use the fucking BindCompany method!!!"");
            }
            // P.S. this method is a joke ... the rest of the class is fucking serious
        }

        /// <summary>
        /// This returns true if this control is supposed to be doing anything
        /// at all for this request. Richard thought it was a good idea to load
        /// the entire website during every request and have things turn themselves
        /// off. He also thought bandanas and aviator sunglasses were ""fuckin'
        /// gnarly, dude.""
        /// </summary>
        protected bool IsThisTheRightPageImNotSureBecauseRichardIsDumb()
        {
            return Request.QueryString[""Section""] == this.MenuItemKey;
        }

        protected override void OnLoad(EventArgs e)
        {
            if (IsThisTheRightPageImNotSureBecauseRichardIsDumb())
            {
                Page.LoadComplete += new EventHandler(Page_LoadComplete);
                Pager.RowCount = GetRowCountBecauseRichardIsDumb();
            }
            base.OnLoad(e);
        }

        protected abstract int GetRowCountBecauseRichardIsDumb();
        protected abstract void BindDataBecauseRichardIsDumb();

        void Page_LoadComplete(object sender, EventArgs e)
        {
            BindDataBecauseRichardIsDumb();
        }

        // the rest of his reduh-ndant interface members
        public abstract string MenuItemName { get; set; }
        public abstract string MenuItemKey { get; set; }
        public abstract bool IsCapable(CapabilityCheck checker, int companyId);
        public abstract bool ShowInMenu { get; }
        public virtual Control CreateHeaderControl()
        {
            return null;
        }
    }
}"
10,Rohit,2009-04-22 17:11:20Z,https://stackoverflow.com/a/778275,825,,"// somedev1 -  6/7/02 Adding temporary tracking of Login screen
// somedev2 -  5/22/07 Temporary my ass"
11,Daniel Papasian,2008-10-09 18:02:50Z,https://stackoverflow.com/a/185181,726,,"// drunk, fix later"
12,Jason Sundram,2008-10-08 22:07:17Z,https://stackoverflow.com/a/185106,718,,// Magic. Do not touch.
13,Greg D,2011-03-21 22:38:02Z,https://stackoverflow.com/a/184701,638,,// I'm sorry.
14,Lateral,2008-10-08 23:13:06Z,https://stackoverflow.com/a/185308,635,,return 1; # returns 1
15,Draemon,2011-03-16 18:08:57Z,https://stackoverflow.com/a/185576,589,,"/* This is O(scary), but seems quick enough in practice. */"
16,Lance Kidwell,2011-03-16 18:10:36Z,https://stackoverflow.com/a/766363,588,,"// Replaces with spaces the braces in cases where braces in places cause stasis
   $str = str_replace(array(""\{"",""\}""),"" "",$str);"
17,Sean,2008-10-09 14:03:55Z,https://stackoverflow.com/a/187405,524,,long john; // silver
18,Randyaa,2011-03-16 18:11:03Z,https://stackoverflow.com/a/184682,505,,"Catch (Exception e) {
 //who cares?
}"
